title,image_url,movie_link,about
Black Phone 2 (2025) WEB-DL [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/e8UXuYbVqjdeESIQ688hQP98Fzh.jpg,https://hdhub4u.pictures/black-phone-2-2025-hindi-webrip-full-movie/,Black Phone 2 (2025) WEB-DL [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie
IT: Welcome to Derry (Season 1) WEB-DL [Hindi (DD2.0) & English] 4K 1080p 720p & 480p [x264/10Bit-HEVC] | HBO Series | [EP-03 Added],https://image.tmdb.org/t/p/w342/sa26OBVEYzYRButAGkMlwr3rTkB.jpg,https://hdhub4u.pictures/it-welcome-to-derry-season-1-hindi-webrip-all-epsiodes/,IT: Welcome to Derry (Season 1) WEB-DL [Hindi (DD2.0) & English] 4K 1080p 720p & 480p [x264/10Bit-HEVC] | HBO Series | [EP-03 Added]
Jatadhara (2025) HDCAM [Hindi (Clean)] 1080p 720p & 480p [x264/HC-ESub] | Full Movie,https://image.tmdb.org/t/p/w342/jhDsVtdxEcxmuf794Hny5oKyaR4.jpg,https://hdhub4u.pictures/jatadhara-2025-hdcam-hindi-full-movie/,Jatadhara (2025) HDCAM [Hindi (Clean)] 1080p 720p & 480p [x264/HC-ESub] | Full Movie
Mayor of Kingstown (Season 4) WEB-DL [Hindi (DD2.0) & English] 1080p 720p & 480p Dual Audio [x264/ESubs]  | Paramount+ Series | [EP-03 Added],https://image.tmdb.org/t/p/w342/6rWIip9MZELAA0SKii5WqsBDCYW.jpg,https://hdhub4u.pictures/mayor-of-kingstown-season-4-webrip-hindi-full-series/,Mayor of Kingstown (Season 4) WEB-DL [Hindi (DD2.0) & English] 1080p 720p & 480p Dual Audio [x264/ESubs]  | Paramount+ Series | [EP-03 Added]
Predator: Badlands (2025) HDTC [Hindi (LiNE) & English] 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/s4LOi1nn6PemZLSG46g3MkwUKyF.jpg,https://hdhub4u.pictures/predator-badlands-2025-hindi-hdtc-full-movie/,Predator: Badlands (2025) HDTC [Hindi (LiNE) & English] 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie
HAQ (2025) HQ-HDTC Hindi (LiNE) 1080p 720p & 480p [x264/HEVC] | Full Movie,https://catimages.org/images/2025/11/07/HAQ-2025-HDHub4u.Ms.jpg,https://hdhub4u.pictures/haq-2025-hindi-hdtc-full-movie/,HAQ (2025) HQ-HDTC Hindi (LiNE) 1080p 720p & 480p [x264/HEVC] | Full Movie
Frankenstein (2025) WEB-DL [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/v9NLaLBbrkDwq44qG51v8T6sPuI.jpg,https://hdhub4u.pictures/frankenstein-2025-hindi-webrip-full-movie/,Frankenstein (2025) WEB-DL [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie
The Fantastic 4: First Steps (2025) BluRay [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/cm8TNGBGG0aBfWj0LgrESHv8tir.jpg,https://hdhub4u.pictures/the-fantastic-4-first-steps-2025-bluray-hindi-full-movie/,The Fantastic 4: First Steps (2025) BluRay [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie
Bad Girl (2025) DS4K WEB-DL [Hindi (DD5.1) & Tamil] 4K 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/xh1g7aFqq5FqFlKtWVX1xzYKoUh.jpg,https://hdhub4u.pictures/bad-girl-2025-webrip-hindi-full-movie/,Bad Girl (2025) DS4K WEB-DL [Hindi (DD5.1) & Tamil] 4K 1080p 720p & 480p Dual Audio [x264/HEVC] | Full Movie
The Taj Story (2025) HDTC [Hindi (LiNE)] 1080p 720p & 480p [x264/HC-ESub] | Full Movie,https://image.tmdb.org/t/p/w342/6oMIAvdPWFbwowAq7Zn8unbREAY.jpg,https://hdhub4u.pictures/the-taj-story-2025-hdtc-hindi-full-movie/,The Taj Story (2025) HDTC [Hindi (LiNE)] 1080p 720p & 480p [x264/HC-ESub] | Full Movie
Bahubali: The Epic (2025) HDTC [Hindi (LiNE)] 1080p 720p & 480p [x264] | Full Movie,https://image.tmdb.org/t/p/w342/z9YIo2qscyaXYgRqIdRJtND3bw8.jpg,https://hdhub4u.pictures/bahubali-the-epic-2025-hdtc-hindi-full-movie/,Bahubali: The Epic (2025) HDTC [Hindi (LiNE)] 1080p 720p & 480p [x264] | Full Movie
Kantara – A Legend Chapter: 1 (2025) DS4K WEB-DL [Hindi (LiNE) & Kannada] 4K 1080p 720p & 480p [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/ehQPboTPaIMkMUOoNOh8e7pZ5Rp.jpg,https://hdhub4u.pictures/kantara-chapter-1-2025-ds4k-hindi-webrip-full-movie/,Kantara – A Legend Chapter: 1 (2025) DS4K WEB-DL [Hindi (LiNE) & Kannada] 4K 1080p 720p & 480p [x264/10Bit-HEVC] | Full Movie
Lokah – Chapter 1: Chandra (2025) DS4K WEB-DL [Hindi (DD5.1) & Malayalam] 4K 1080p 720p & 480p [x264/10Bit-HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/mVLgxigdqMEyluylocqYTZW8uP.jpg,https://hdhub4u.pictures/lokah-chapter-1-hindi-ds4k-webrip-full-movie/,Lokah – Chapter 1: Chandra (2025) DS4K WEB-DL [Hindi (DD5.1) & Malayalam] 4K 1080p 720p & 480p [x264/10Bit-HEVC] | Full Movie
Nishaanchi (2025) WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/HEVC] | Full Movie,https://image.tmdb.org/t/p/w342/aDI8pTr7QDs1QnDKCKsAoEampZj.jpg,https://hdhub4u.pictures/nishaanchi-2025-webrip-hindi-full-movie/,Nishaanchi (2025) WEB-DL [Hindi DD5.1] 4K 1080p 720p & 480p [x264/HEVC] | Full Movie
The Witcher (Season 4) WEB-DL [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | NF Series,https://image.tmdb.org/t/p/w342/AoGsDM02UVt0npBA8OvpDcZbaMi.jpg,https://hdhub4u.pictures/the-witcher-season-4-webrip-hindi-full-series/,The Witcher (Season 4) WEB-DL [Hindi (DD5.1) & English] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | NF Series
Idli Kadai (2025) DS4K WEB-DL [Hindi (DD5.1) & Tamil] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie,https://catimages.org/images/2025/10/29/Idli-Kadai-2025-HDHub4u.Ms.jpg,https://hdhub4u.pictures/idli-kadai-2025-hindi-webrip-full-movie/,Idli Kadai (2025) DS4K WEB-DL [Hindi (DD5.1) & Tamil] 4K 1080p 720p & 480p Dual Audio [x264/10Bit-HEVC] | Full Movie
